"Country","Resistance","Year"
"Austria",22,2013
"Belgium",23,2013
"Bulgaria",37.4,2013
"Croatia",20.2,2013
"Cyprus",51.9,2013
"Czech Republic",20.8,2013
"Denmark",12.4,2013
"Estonia",11.8,2013
"Finland",13.3,2013
"France",16.7,2013
"Germany",22.1,2013
"Greece",30.9,2013
"Hungary",30.3,2013
"Iceland",14.7,2013
"Ireland",24.2,2013
"Italy",42.2,2013
"Latvia",18.7,2013
"Lithuania",16,2013
"Luxembourg",27.8,2013
"Malta",29.8,2013
"Netherlands",14.1,2013
"Norway",10.9,2013
"Poland",27.3,2013
"Portugal",31.6,2013
"Romania",31,2013
"Slovakia",40.3,2013
"Slovenia",19.9,2013
"Spain",34.9,2013
"Sweden",11.6,2013
"United Kingdom",16.3,2013
"Austria",19.8,2014
"Belgium",26.7,2014
"Bulgaria",38.6,2014
"Croatia",20.1,2014
"Cyprus",46.4,2014
"Czech Republic",21.6,2014
"Denmark",12.3,2014
"Estonia",12.3,2014
"Finland",11,2014
"France",17.6,2014
"Germany",20.6,2014
"Greece",32.8,2014
"Hungary",28.4,2014
"Iceland",7.8,2014
"Ireland",24.5,2014
"Italy",43.9,2014
"Latvia",17.7,2014
"Lithuania",12.8,2014
"Luxembourg",24.7,2014
"Malta",29,2014
"Netherlands",13.3,2014
"Norway",11,2014
"Portugal",32.4,2014
"Romania",31.3,2014
"Slovakia",43,2014
"Slovenia",23.3,2014
"Spain",34,2014
"Sweden",11.3,2014
"United Kingdom",16.8,2014
