"Country","Resistance","Year","Pathogen","SourceFile"
"Austria",5.9,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Bulgaria",39.5,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Croatia",86.6,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Cyprus",60.6,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Czech Republic",4.4,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Denmark",1.8,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Finland",0,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"France",4.1,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Germany",5.2,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Greece",85.2,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Hungary",48.7,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Ireland",0,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Italy",79,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Netherlands",1.6,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Norway",0,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Poland",46.7,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Portugal",56.3,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Romania",74.5,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Slovakia",31.7,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Slovenia",20,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Spain",70,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Sweden",5.6,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"United Kingdom",1.3,2013,"Acinetobacter","percentage-acinetobacter-combined-resistance-2013.xlsx"
"Austria",3.2,2013,"E coli","percentage-e-coli-combined-resistance-2013.xlsx"
